"data_as_of","start_date","end_date","sex","age_years","total_deaths","covid19_deaths"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","46 Years","10149","1319"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","47 Years","10900","1405"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","48 Years","12016","1631"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","49 Years","13561","1820"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","50 Years","15097","2005"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","51 Years","15761","2011"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","52 Years","16702","2172"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","53 Years","17919","2325"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","54 Years","19564","2533"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","55 Years","21961","2760"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","56 Years","24681","3125"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","57 Years","27230","3375"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","58 Years","29079","3793"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","59 Years","32307","4141"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","60 Years","34631","4480"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","61 Years","36911","4755"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","62 Years","39034","5184"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","63 Years","41622","5598"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","64 Years","43394","5872"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","65 Years","44858","6047"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","66 Years","46403","6207"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","67 Years","48151","6335"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","68 Years","49756","6626"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","69 Years","51804","6920"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","70 Years","54142","6989"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","71 Years","57915","7617"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","72 Years","62287","8044"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","73 Years","67501","8519"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","74 Years","66071","8574"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","75 Years","61635","7782"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","76 Years","66202","8253"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","77 Years","72270","8916"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","78 Years","74320","9200"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","79 Years","72808","8770"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","80 Years","74229","8831"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","81 Years","76190","9056"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","82 Years","79360","9470"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","83 Years","81024","9345"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","84 Years","82973","9624"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Female","85 Years and over","1117419","118091"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","<1 Year","19851","88"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","01 Year","1420","20"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","02 Years","964","6"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","03 Years","798","5"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","04 Years","615","5"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","05 Years","571","8"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","06 Years","491","3"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","07 Years","466","7"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","08 Years","418","9"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","09 Years","451","15"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","10 Years","523","10"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","11 Years","573","9"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","12 Years","648","16"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","13 Years","938","20"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","14 Years","1249","13"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","15 Years","1716","33"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","16 Years","2469","36"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","17 Years","3284","51"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","18 Years","4510","68"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","19 Years","5470","101"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","20 Years","5716","115"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","21 Years","6537","154"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","22 Years","6800","166"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","23 Years","7016","200"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","24 Years","7457","245"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","25 Years","8067","246"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","26 Years","8528","288"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","27 Years","9104","363"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","28 Years","9749","415"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","29 Years","10468","509"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","30 Years","10957","548"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","31 Years","11232","632"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","32 Years","11252","640"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","33 Years","11387","732"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","34 Years","11703","813"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","35 Years","12128","873"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","36 Years","12342","956"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","37 Years","12782","1092"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","38 Years","13265","1119"
